# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S12	ang:Trc2_S12	db:Trc3_S21	ang:Trc3_S21	db:Trc4_S22	ang:Trc4_S22	
9.699142388376713E+09	-5.850939234166255E-01	-1.768868602302477E+02	-5.616735466789625E+01	1.129515231838315E+02	-5.622804278903244E+01	1.125836512960030E+02	-1.283627067467925E+00	1.782346803527888E+02	
9.718825652912853E+09	-5.695092604390668E-01	-1.773414815585354E+02	-5.619672591147883E+01	1.123638331047703E+02	-5.627260264506283E+01	1.121543180105126E+02	-1.268289520673513E+00	1.777619709081317E+02	
9.738548862310884E+09	-5.368145811410200E-01	-1.774528675724614E+02	-5.623740875854821E+01	1.118539551265560E+02	-5.626413915097544E+01	1.114699924429908E+02	-1.246999507209889E+00	1.776463842723049E+02	
9.758312097634113E+09	-5.641402305589434E-01	-1.772037030240040E+02	-5.627467490120252E+01	1.111937837023994E+02	-5.630566762718643E+01	1.108017929538095E+02	-1.273577210971491E+00	1.777980629058983E+02	
9.778115440110466E+09	-5.740709372032669E-01	-1.768728102943977E+02	-5.633930906108162E+01	1.107946814214765E+02	-5.634866682900493E+01	1.104941228265304E+02	-1.284688341979043E+00	1.779892351977409E+02	
9.797958971132717E+09	-5.792411246905931E-01	-1.770874224151591E+02	-5.637061488429096E+01	1.102817931694981E+02	-5.640291125145615E+01	1.100158060505006E+02	-1.287471763679930E+00	1.776887209569839E+02	
9.817842772258698E+09	-5.461091463937037E-01	-1.773873660075367E+02	-5.638268582250376E+01	1.097456601786933E+02	-5.642880616892270E+01	1.094414199041567E+02	-1.260603833115000E+00	1.773162532265279E+02	
9.837766925211906E+09	-5.409179451281307E-01	-1.771344423357616E+02	-5.643147317206474E+01	1.093135219307762E+02	-5.644552189274510E+01	1.089869483066724E+02	-1.252914136160086E+00	1.774986498135817E+02	
9.857731511881536E+09	-5.565299777379227E-01	-1.766145303256179E+02	-5.648151262800238E+01	1.090246220639968E+02	-5.652229299531626E+01	1.086246684406122E+02	-1.263959575371757E+00	1.779177324563722E+02	
9.877736614323122E+09	-5.427722454274365E-01	-1.767084757596219E+02	-5.651360627854481E+01	1.083225615757830E+02	-5.656388314719069E+01	1.080832571173731E+02	-1.255942750813224E+00	1.777523645318508E+02	
9.897782314758556E+09	-5.368598486336166E-01	-1.771977237175970E+02	-5.654155058275666E+01	1.077401086414308E+02	-5.660533183000582E+01	1.075044446411765E+02	-1.244066663864743E+00	1.772674788022548E+02	
9.917868695576759E+09	-5.120149883510606E-01	-1.773145796429928E+02	-5.658874655031637E+01	1.074021946512225E+02	-5.665126824580942E+01	1.069872475247349E+02	-1.224225390997497E+00	1.772158881802821E+02	
9.937995839333683E+09	-5.286152316644886E-01	-1.766379508683432E+02	-5.664481062825900E+01	1.071471211723763E+02	-5.670713510684904E+01	1.068124933831419E+02	-1.238108832886304E+00	1.779310089998216E+02	
9.958163828752981E+09	-4.938746653309622E-01	-1.762277229208192E+02	-5.666283097721340E+01	1.064644862632762E+02	-5.670446595968234E+01	1.063638122788755E+02	-1.200302702142968E+00	1.784148254589448E+02	
9.978372746726023E+09	-5.580680489572978E-01	-1.768247742771727E+02	-5.675632421479822E+01	1.057246134293319E+02	-5.680691841814606E+01	1.057471463075845E+02	-1.274156912988257E+00	1.778323497267648E+02	
9.998622676312557E+09	-5.487547990441057E-01	-1.771139580689157E+02	-5.676740069126068E+01	1.053795787990172E+02	-5.684440992080330E+01	1.050656022861460E+02	-1.277083167655254E+00	1.776237488836799E+02	
1.001891370074073E+10	-5.242989887844314E-01	-1.768176035010812E+02	-5.676489557455650E+01	1.059945471224959E+02	-5.682718178935161E+01	1.058317225115119E+02	-1.263175738526054E+00	1.780702558464523E+02	
1.003924590340776E+10	-5.444568074012412E-01	-1.769312805622468E+02	-5.683359538461470E+01	1.056752130902482E+02	-5.687348360450361E+01	1.052675323817975E+02	-1.281669626131316E+00	1.780116198571932E+02	
1.005961936787993E+10	-5.239499987947174E-01	-1.769732497892102E+02	-5.685769708388961E+01	1.050850122646532E+02	-5.690412190780136E+01	1.048245422875994E+02	-1.266350183541265E+00	1.780336554387944E+02	
1.008003417789329E+10	-5.045415730475573E-01	-1.770231407189859E+02	-5.688930507287655E+01	1.046236915994927E+02	-5.695055765484008E+01	1.045196394771832E+02	-1.257791617689322E+00	1.780512913942652E+02	
1.010049041735365E+10	-4.950770133719685E-01	-1.771020355234267E+02	-5.693052708332060E+01	1.042042728637566E+02	-5.698604985601224E+01	1.038178319159766E+02	-1.257216311698427E+00	1.779874357446995E+02	
1.012098817033728E+10	-5.206848668796071E-01	-1.771508364908656E+02	-5.700149476903700E+01	1.037191146357321E+02	-5.703329868228409E+01	1.033993398907275E+02	-1.281435644358535E+00	1.779177342466090E+02	
1.014152752109087E+10	-5.107630147025594E-01	-1.772557265693000E+02	-5.701475488681700E+01	1.033528033719406E+02	-5.707261095578669E+01	1.026144975613297E+02	-1.275069638987621E+00	1.777847515098185E+02	
1.016210855403227E+10	-4.944404996761387E-01	-1.772982947147450E+02	-5.704978332009699E+01	1.027286514230793E+02	-5.711569602990265E+01	1.023258519468117E+02	-1.266493727653359E+00	1.777080193030334E+02	
1.018273135375049E+10	-4.889642156584947E-01	-1.772643450309582E+02	-5.711231822203672E+01	1.023040171507652E+02	-5.714557070549304E+01	1.017816628299039E+02	-1.268174874318416E+00	1.776645540653096E+02	
1.020339600500635E+10	-4.991246699314260E-01	-1.772606322960576E+02	-5.717834164702660E+01	1.017553821579720E+02	-5.722331427804077E+01	1.013436853141167E+02	-1.279387928141567E+00	1.775662687055084E+02	
1.022410259273252E+10	-5.062241627847728E-01	-1.772786298094852E+02	-5.724181153151321E+01	1.014524218083001E+02	-5.728184422105151E+01	1.009653420334892E+02	-1.286162608117347E+00	1.774640591638425E+02	
1.024485120203420E+10	-4.833104059258792E-01	-1.773122054127468E+02	-5.725748432650143E+01	1.010058759624076E+02	-5.732292384288282E+01	1.003639287915430E+02	-1.268285274044473E+00	1.773500080720111E+02	
1.026564191818913E+10	-4.870984110224452E-01	-1.773014338485304E+02	-5.733669150572592E+01	1.005426890092477E+02	-5.737413100557844E+01	9.983608845860034E+01	-1.278609413502486E+00	1.772806239745184E+02	
1.028647482664825E+10	-4.981502485282024E-01	-1.772110174763287E+02	-5.738764206334744E+01	1.001130144037926E+02	-5.744422275077341E+01	9.938811473905062E+01	-1.293175367909382E+00	1.772816016926708E+02	
1.030735001303589E+10	-5.209508001191608E-01	-1.772396743692497E+02	-5.744624643905730E+01	9.950274691826586E+01	-5.751762916463454E+01	9.910250415475345E+01	-1.315759688212728E+00	1.772008049440562E+02	
1.032826756315004E+10	-5.056143154338976E-01	-1.772328374273808E+02	-5.751901969123313E+01	9.938513275142699E+01	-5.754296949754220E+01	9.856579269235239E+01	-1.305014032451222E+00	1.772205257508872E+02	
1.034922756296297E+10	-4.869748475627417E-01	-1.772821350880172E+02	-5.754266481178313E+01	9.868070151744010E+01	-5.759429461759073E+01	9.823686988296923E+01	-1.295359021955975E+00	1.772640201249261E+02	
1.037023009862124E+10	-4.935720490504769E-01	-1.773064055956284E+02	-5.762180260394388E+01	9.847626206822599E+01	-5.765034572110353E+01	9.790404622730048E+01	-1.306381180080754E+00	1.773028079533701E+02	
1.039127525644641E+10	-5.251386041985884E-01	-1.773075389068684E+02	-5.767545289316467E+01	9.793497555351445E+01	-5.769552823561691E+01	9.736185558769505E+01	-1.336454231575450E+00	1.773443537811844E+02	
1.041236312293506E+10	-5.133555274373612E-01	-1.773964082909868E+02	-5.772549820450429E+01	9.780054192016556E+01	-5.776248563311982E+01	9.712697752575869E+01	-1.327254686300771E+00	1.773412214929943E+02	
1.043349378475946E+10	-5.100489746995746E-01	-1.775008404049311E+02	-5.772277886977992E+01	9.733393501478102E+01	-5.778576417329127E+01	9.658840428501719E+01	-1.328555558324902E+00	1.773419743952125E+02	
1.045466732876760E+10	-5.126558733427938E-01	-1.774678472255569E+02	-5.780057340988228E+01	9.700562149305691E+01	-5.784312206213106E+01	9.629649034018722E+01	-1.339857112717557E+00	1.774459760794844E+02	
1.047588384198392E+10	-5.283529405170924E-01	-1.774471719047697E+02	-5.786360191805065E+01	9.660472596774233E+01	-5.791613622507504E+01	9.596081295204630E+01	-1.359582222956002E+00	1.774805467012391E+02	
